date_pub,ccaa,Dosis entregadas,Dosis administradas,% sobre entregadas,Última fecha de actualización de datos,Fecha de la ultima vacuna registrada,source_name,source
4/1/21,Andalucía,140295,25809,0.1839623650165722,3/1/21,3/1/21,Ministerio de Sanidad - Vacuna Covid 19,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
4/1/21,Aragón,23715,2004,0.0845034788108791,2/1/21,2/1/21,Ministerio de Sanidad - Vacuna Covid 20,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
4/1/21,Asturias,23720,9380,0.3954468802698145,3/1/21,3/1/21,Ministerio de Sanidad - Vacuna Covid 21,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
4/1/21,Baleares,8940,153,0.0171140939597315,28/12/20,28/12/20,Ministerio de Sanidad - Vacuna Covid 22,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
4/1/21,Canarias,20835,4846,0.2325893928485721,3/1/21,3/1/21,Ministerio de Sanidad - Vacuna Covid 23,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
4/1/21,Cantabria,11850,304,0.0256540084388185,30/12/20,30/12/20,Ministerio de Sanidad - Vacuna Covid 24,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
4/1/21,Castilla y Leon,51390,10928,0.2126483751702665,3/1/21,3/1/21,Ministerio de Sanidad - Vacuna Covid 25,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
4/1/21,Castilla La Mancha,35550,1983,0.0557805907172995,3/1/21,3/1/21,Ministerio de Sanidad - Vacuna Covid 26,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
4/1/21,Cataluña,120545,8150,0.0676096063710647,3/1/21,3/1/21,Ministerio de Sanidad - Vacuna Covid 27,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
4/1/21,C. Valenciana,61225,3252,0.0531155573703552,3/1/21,3/1/21,Ministerio de Sanidad - Vacuna Covid 28,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
4/1/21,Extremadura,21725,686,0.0315765247410817,3/1/21,3/1/21,Ministerio de Sanidad - Vacuna Covid 29,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
4/1/21,Galicia,37555,9124,0.2429503395020636,2/1/21,2/1/21,Ministerio de Sanidad - Vacuna Covid 30,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
4/1/21,La Rioja,5915,324,0.0547759932375317,31/12/20,31/12/20,Ministerio de Sanidad - Vacuna Covid 31,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion.pdf
