date_pub,ccaa,Fecha de la ultima vacuna registrada,Dosis entregadas,Dosis administradas,% sobre entregadas,source_name,source
2021-01-07,Andalucía,2021-01-06,140295,53934,0.38443280230941945,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Aragón,2021-01-06,23715,6186,0.2608475648323846,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Asturias ,2021-01-06,23720,14406,0.6073355817875211,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Baleares,2021-01-05,12840,3190,0.2484423676012461,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Canarias,2021-01-06,27660,7330,0.2650036153289949,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Cantabria,2021-01-07,11850,1564,0.1319831223628692,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Castilla y Leon ,2021-01-06,51390,22103,0.4301031329052345,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Castilla La Mancha,2021-01-06,35550,7666,0.21563994374120957,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Cataluña,2021-01-06,120545,24515,0.20336803683271806,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,C. Valenciana,2021-01-07,61225,11677,0.1907227439771335,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Extremadura,2021-01-05,21725,3309,0.15231300345224397,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Galicia,2021-01-07,37555,20265,0.5396085740913327,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,La Rioja,2021-01-06,5915,858,0.14505494505494507,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Madrid,2021-01-07,98790,11337,0.11475857880352262,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Murcia ,2021-01-07,25685,7287,0.28370644344948415,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Navarra,2021-01-06,11850,2960,0.249789029535865,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,País Vasco,2021-01-06,31605,7734,0.2447081158044613,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Ceuta,2021-01-05,1005,576,0.573134328358209,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
2021-01-07,Melilla,2021-01-05,1005,426,0.42388059701492536,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210107.ods
