date,province,ine_code,ccaa,new_cases,PCR,TestAc,hospitalized,intensive_care,cases_accumulated_PCR,deceased,cases_accumulated,activos,poblacion,recovered,source_name,source,as.Date(date)
2020-02-25,"Palmas, Las",35,Canarias,NA,NA,NA,NA,NA,NA,0,0,0,1120406,0,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-02-25
2020-02-25,Santa Cruz de Tenerife,38,Canarias,NA,NA,NA,NA,NA,NA,0,3,1,1032983,2,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-02-25
2020-02-27,"Palmas, Las",35,Canarias,0,NA,NA,NA,NA,NA,0,0,0,1120406,0,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-02-27
2020-02-27,Santa Cruz de Tenerife,38,Canarias,4,NA,NA,NA,NA,NA,0,7,5,1032983,2,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-02-27
2020-02-28,"Palmas, Las",35,Canarias,0,NA,NA,NA,NA,NA,0,0,0,1120406,0,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-02-28
2020-02-28,Santa Cruz de Tenerife,38,Canarias,1,NA,NA,NA,NA,NA,0,8,6,1032983,2,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-02-28
2020-02-29,"Palmas, Las",35,Canarias,0,NA,NA,NA,NA,NA,0,0,0,1120406,0,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-02-29
2020-02-29,Santa Cruz de Tenerife,38,Canarias,1,NA,NA,NA,NA,NA,0,9,7,1032983,2,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-02-29
2020-03-03,"Palmas, Las",35,Canarias,0,NA,NA,NA,NA,NA,0,0,-1,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-03
2020-03-03,Santa Cruz de Tenerife,38,Canarias,1,NA,NA,NA,NA,NA,0,10,7,1032983,3,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-03
2020-03-04,"Palmas, Las",35,Canarias,0,NA,NA,NA,NA,NA,0,0,-1,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-04
2020-03-04,Santa Cruz de Tenerife,38,Canarias,0,NA,NA,NA,NA,NA,0,10,5,1032983,5,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-04
2020-03-05,"Palmas, Las",35,Canarias,1,NA,NA,NA,NA,NA,0,1,0,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-05
2020-03-05,Santa Cruz de Tenerife,38,Canarias,3,NA,NA,NA,NA,NA,0,13,7,1032983,6,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-05
2020-03-06,"Palmas, Las",35,Canarias,2,NA,NA,NA,NA,NA,0,3,2,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-06
2020-03-06,Santa Cruz de Tenerife,38,Canarias,6,NA,NA,NA,NA,NA,0,19,13,1032983,6,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-06
2020-03-07,"Palmas, Las",35,Canarias,1,NA,NA,NA,NA,NA,0,4,3,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-07
2020-03-07,Santa Cruz de Tenerife,38,Canarias,3,NA,NA,NA,NA,NA,0,22,16,1032983,6,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-07
2020-03-08,"Palmas, Las",35,Canarias,0,NA,NA,NA,NA,NA,0,4,3,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-08
2020-03-08,Santa Cruz de Tenerife,38,Canarias,1,NA,NA,NA,NA,NA,0,23,15,1032983,8,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-08
2020-03-09,"Palmas, Las",35,Canarias,2,NA,NA,NA,NA,NA,0,6,5,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-09
2020-03-09,Santa Cruz de Tenerife,38,Canarias,3,NA,NA,NA,NA,NA,0,26,18,1032983,8,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-09
2020-03-10,"Palmas, Las",35,Canarias,1,NA,NA,NA,NA,NA,0,7,6,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-10
2020-03-10,Santa Cruz de Tenerife,38,Canarias,8,NA,NA,NA,NA,NA,0,34,26,1032983,8,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-10
2020-03-11,"Palmas, Las",35,Canarias,5,NA,NA,NA,NA,NA,0,12,11,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-11
2020-03-11,Santa Cruz de Tenerife,38,Canarias,18,NA,NA,NA,NA,NA,0,52,44,1032983,8,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-11
2020-03-12,"Palmas, Las",35,Canarias,4,NA,NA,NA,NA,NA,0,16,15,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-12
2020-03-12,Santa Cruz de Tenerife,38,Canarias,17,NA,NA,NA,NA,NA,0,69,61,1032983,8,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-12
2020-03-13,"Palmas, Las",35,Canarias,7,NA,NA,NA,NA,NA,1,23,21,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-13
2020-03-13,Santa Cruz de Tenerife,38,Canarias,25,NA,NA,NA,NA,NA,1,94,84,1032983,9,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-13
2020-03-14,"Palmas, Las",35,Canarias,6,NA,NA,NA,NA,NA,1,29,27,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-14
2020-03-14,Santa Cruz de Tenerife,38,Canarias,26,NA,NA,NA,NA,NA,1,120,108,1032983,11,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-14
2020-03-15,"Palmas, Las",35,Canarias,5,NA,NA,NA,NA,NA,1,34,32,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-15
2020-03-15,Santa Cruz de Tenerife,38,Canarias,19,NA,NA,NA,NA,NA,2,139,125,1032983,12,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-15
2020-03-16,"Palmas, Las",35,Canarias,19,NA,NA,NA,NA,NA,2,53,50,1120406,1,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-16
2020-03-16,Santa Cruz de Tenerife,38,Canarias,47,NA,NA,NA,NA,NA,3,186,170,1032983,13,Mapa COVID Canarias ,"https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6 , 
  https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3",2020-03-16
