"","Fecha","Provincia","Isla","Hispitalizados","UCI - Críticas con respirador","UCI - Críticas sin respirador"
"1","01/04/2020","Santa Cruz de Tenerife","Tenerife",237,54,0
"2","01/04/2020","Las Palmas","Gran Canaria",72,37,0
"3","01/04/2020","Las Palmas","Fuerteventura",2,2,0
"4","01/04/2020","Las Palmas","Lanzarote",18,9,0
"5","01/04/2020","Santa Cruz de Tenerife","La Palma",9,5,0
"6","01/04/2020","Santa Cruz de Tenerife","El Hierro",1,0,0
"7","01/04/2020","Santa Cruz de Tenerife","La Gomera",2,0,0
"8","01/05/2020","Santa Cruz de Tenerife","Tenerife",100,26,0
"9","01/05/2020","Las Palmas","Gran Canaria",18,11,0
"10","01/05/2020","Las Palmas","Fuerteventura",1,2,0
"11","01/05/2020","Las Palmas","Lanzarote",2,4,0
"12","01/05/2020","Santa Cruz de Tenerife","La Palma",3,0,0
"13","01/05/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"14","01/05/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"15","01/06/2020","Santa Cruz de Tenerife","Tenerife",31,6,0
"16","01/06/2020","Las Palmas","Gran Canaria",7,4,0
"17","01/06/2020","Las Palmas","Fuerteventura",0,0,0
"18","01/06/2020","Las Palmas","Lanzarote",2,0,0
"19","01/06/2020","Santa Cruz de Tenerife","La Palma",3,0,0
"20","01/06/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"21","01/06/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"22","01/07/2020","Santa Cruz de Tenerife","Tenerife",10,1,0
"23","01/07/2020","Las Palmas","Gran Canaria",1,2,0
"24","01/07/2020","Las Palmas","Fuerteventura",0,0,0
"25","01/07/2020","Las Palmas","Lanzarote",0,0,0
"26","01/07/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"27","01/07/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"28","01/07/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"29","01/08/2020","Santa Cruz de Tenerife","Tenerife",21,1,0
"30","01/08/2020","Las Palmas","Gran Canaria",3,0,0
"31","01/08/2020","Las Palmas","Fuerteventura",0,0,0
"32","01/08/2020","Las Palmas","Lanzarote",0,1,0
"33","01/08/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"34","01/08/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"35","01/08/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"36","01/09/2020","Santa Cruz de Tenerife","Tenerife",32,9,0
"37","01/09/2020","Las Palmas","Gran Canaria",117,32,0
"38","01/09/2020","Las Palmas","Fuerteventura",3,0,0
"39","01/09/2020","Las Palmas","Lanzarote",9,1,0
"40","01/09/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"41","01/09/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"42","01/09/2020","Santa Cruz de Tenerife","La Gomera",2,0,0
"43","01/10/2020","Santa Cruz de Tenerife","Tenerife",76,16,0
"44","01/10/2020","Las Palmas","Gran Canaria",112,35,0
"45","01/10/2020","Las Palmas","Fuerteventura",3,3,0
"46","01/10/2020","Las Palmas","Lanzarote",5,2,0
"47","01/10/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"48","01/10/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"49","01/10/2020","Santa Cruz de Tenerife","La Gomera",1,0,0
"50","01/11/2020","Santa Cruz de Tenerife","Tenerife",112,25,0
"51","01/11/2020","Las Palmas","Gran Canaria",54,18,0
"52","01/11/2020","Las Palmas","Fuerteventura",3,0,0
"53","01/11/2020","Las Palmas","Lanzarote",0,1,0
"54","01/11/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"55","01/11/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"56","01/11/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"57","01/12/2020","Santa Cruz de Tenerife","Tenerife",127,26,0
"58","01/12/2020","Las Palmas","Gran Canaria",43,18,0
"59","01/12/2020","Las Palmas","Fuerteventura",1,0,0
"60","01/12/2020","Las Palmas","Lanzarote",3,0,0
"61","01/12/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"62","01/12/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"63","01/12/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"64","02/04/2020","Santa Cruz de Tenerife","Tenerife",239,52,0
"65","02/04/2020","Las Palmas","Gran Canaria",66,38,0
"66","02/04/2020","Las Palmas","Fuerteventura",2,2,0
"67","02/04/2020","Las Palmas","Lanzarote",11,9,0
"68","02/04/2020","Santa Cruz de Tenerife","La Palma",10,4,0
"69","02/04/2020","Santa Cruz de Tenerife","El Hierro",1,0,0
"70","02/04/2020","Santa Cruz de Tenerife","La Gomera",3,0,0
"71","02/05/2020","Santa Cruz de Tenerife","Tenerife",88,27,0
"72","02/05/2020","Las Palmas","Gran Canaria",16,10,0
"73","02/05/2020","Las Palmas","Fuerteventura",1,2,0
"74","02/05/2020","Las Palmas","Lanzarote",4,4,0
"75","02/05/2020","Santa Cruz de Tenerife","La Palma",2,0,0
"76","02/05/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"77","02/05/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"78","02/06/2020","Santa Cruz de Tenerife","Tenerife",29,4,0
"79","02/06/2020","Las Palmas","Gran Canaria",4,3,0
"80","02/06/2020","Las Palmas","Fuerteventura",0,0,0
"81","02/06/2020","Las Palmas","Lanzarote",2,0,0
"82","02/06/2020","Santa Cruz de Tenerife","La Palma",2,0,0
"83","02/06/2020","Santa Cruz de Tenerife","El Hierro",1,0,0
"84","02/06/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"85","02/07/2020","Santa Cruz de Tenerife","Tenerife",7,1,0
"86","02/07/2020","Las Palmas","Gran Canaria",1,1,0
"87","02/07/2020","Las Palmas","Fuerteventura",1,0,0
"88","02/07/2020","Las Palmas","Lanzarote",0,0,0
"89","02/07/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"90","02/07/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"91","02/07/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"92","02/08/2020","Santa Cruz de Tenerife","Tenerife",21,1,0
"93","02/08/2020","Las Palmas","Gran Canaria",5,0,0
"94","02/08/2020","Las Palmas","Fuerteventura",0,0,0
"95","02/08/2020","Las Palmas","Lanzarote",0,1,0
"96","02/08/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"97","02/08/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"98","02/08/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"99","02/09/2020","Santa Cruz de Tenerife","Tenerife",30,11,0
"100","02/09/2020","Las Palmas","Gran Canaria",122,32,0
"101","02/09/2020","Las Palmas","Fuerteventura",2,1,0
"102","02/09/2020","Las Palmas","Lanzarote",12,1,0
"103","02/09/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"104","02/09/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"105","02/09/2020","Santa Cruz de Tenerife","La Gomera",2,0,0
"106","02/10/2020","Santa Cruz de Tenerife","Tenerife",62,15,0
"107","02/10/2020","Las Palmas","Gran Canaria",106,34,0
"108","02/10/2020","Las Palmas","Fuerteventura",5,3,0
"109","02/10/2020","Las Palmas","Lanzarote",6,2,0
"110","02/10/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"111","02/10/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"112","02/10/2020","Santa Cruz de Tenerife","La Gomera",1,0,0
"113","02/11/2020","Santa Cruz de Tenerife","Tenerife",120,26,0
"114","02/11/2020","Las Palmas","Gran Canaria",53,17,0
"115","02/11/2020","Las Palmas","Fuerteventura",1,0,0
"116","02/11/2020","Las Palmas","Lanzarote",0,1,0
"117","02/11/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"118","02/11/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"119","02/11/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"120","02/12/2020","Santa Cruz de Tenerife","Tenerife",115,26,0
