"date","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered"
2020-01-31,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0
2020-02-09,1,0,0,0,0,0,0,1,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,1,1,0
2020-02-21,0,0,0,0,0,0,0,1,1,0
2020-02-22,0,0,0,0,0,0,0,1,1,0
2020-02-23,0,0,0,0,0,0,0,1,1,0
2020-02-24,0,0,0,0,0,0,0,1,1,0
2020-02-25,0,0,0,0,0,0,0,2,2,0
2020-02-26,1,0,0,0,0,0,0,7,7,0
2020-02-27,8,0,0,0,0,0,0,16,11,0
2020-02-28,2,1,0,0,0,0,0,29,23,0
2020-02-29,4,1,0,0,1,1,0,43,32,0
2020-03-01,6,0,0,0,252,12,0,74,60,0
2020-03-02,13,11,0,0,248,12,0,133,118,0
2020-03-03,10,0,0,0,261,13,0,195,172,0
2020-03-04,5,1,0,0,259,15,1,266,244,1
2020-03-05,33,5,0,0,261,16,2,437,385,1
2020-03-06,40,3,0,8,268,15,5,701,617,0
2020-03-07,53,3,0,10,294,16,11,1003,879,0
2020-03-08,52,4,0,19,316,18,25,1374,1192,0
2020-03-09,82,15,0,28,346,20,36,2032,1793,1
2020-03-10,141,66,0,33,407,26,54,2982,2661,4
2020-03-11,218,88,0,43,463,31,94,4040,3602,5
2020-03-12,311,221,0,54,526,37,138,5329,4762,8
2020-03-13,675,337,0,68,1875,218,198,7399,6200,10
2020-03-14,804,328,0,109,2169,229,386,9328,7574,14
2020-03-15,982,464,0,123,3049,317,448,11391,9033,13
2020-03-16,1202,687,0,134,3182,345,672,13834,11198,18
2020-03-17,1363,822,0,152,4781,481,795,17583,14244,34
2020-03-18,1927,1014,0,168,5276,680,996,20761,17324,43
2020-03-19,2278,1346,0,3103,6988,830,1319,26438,21079,121
2020-03-20,2285,1484,1,3956,8574,976,1696,32044,25320,84
2020-03-21,1915,1270,1,4713,10122,1124,2127,36739,28693,120
2020-03-22,1704,1079,0,5164,11724,1285,2625,40706,31647,204
2020-03-23,2744,1597,0,5942,13364,1489,3217,47100,36446,251
2020-03-24,3782,1993,0,6463,15344,1808,3973,52407,41979,342
2020-03-25,3900,2005,0,8924,17034,2051,4728,63099,46855,476
2020-03-26,5066,2448,0,10231,19105,2277,5591,72676,54309,762
2020-03-27,4777,1818,0,7725,20971,2420,6575,81188,59281,926
2020-03-28,4905,1634,2,12037,23528,2813,7628,89780,62627,1281
2020-03-29,4907,1324,0,10255,27368,2948,8602,96084,65301,1818
2020-03-30,4698,1817,1,13367,28294,3353,9548,103276,70156,1828
2020-03-31,5573,1763,0,13914,26049,3195,10614,108824,74422,2196
2020-04-01,6317,1482,0,19858,27332,3365,11637,117176,78245,2687
2020-04-02,5257,1451,0,16375,27457,3456,12719,123951,82060,3377
2020-04-03,3262,1534,12,4709,30387,3437,13731,130639,85929,4274
2020-04-04,2879,1046,16,6202,30133,3448,14646,135948,88359,5120
2020-04-05,1998,724,14,4748,26858,3446,15502,139710,90016,5738
2020-04-06,2167,1200,24,7508,29681,3456,16424,144596,93228,6269
2020-04-07,2454,1260,45,4856,28790,3409,17320,149516,96288,6996
2020-04-08,2507,1289,119,4806,27696,3324,18293,154914,99408,7921
2020-04-09,2814,1301,147,4827,26328,3283,19161,159906,102022,9123
2020-04-10,2726,1043,416,4970,25944,3202,19957,165061,104306,10149
2020-04-11,2126,863,484,5059,25141,3158,20759,168830,106075,11000
2020-04-12,2259,590,485,5050,24500,3092,21448,171874,107327,11810
2020-04-13,2114,647,545,5082,24211,3054,22136,175376,109253,12310
2020-04-14,2646,1103,688,5139,23396,2996,22863,179704,111784,13129
2020-04-15,2828,1219,782,5244,22335,2887,23565,184105,116807,14225
2020-04-16,3167,1181,1009,5281,20879,2666,24244,188814,119159,15159
2020-04-17,3676,1354,1535,5378,19825,2588,24855,193916,121445,17293
2020-04-18,2321,783,4010,10437,19644,2522,25458,199798,122915,17184
2020-04-19,1503,531,4215,10241,19206,2536,25986,202025,123785,17825
2020-04-20,1892,888,4589,10220,19025,2481,26480,204948,125499,19791
2020-04-21,2233,955,5138,10149,18580,2408,26988,208701,127285,20567
2020-04-22,2836,1013,5809,9642,17877,2316,27474,213318,126517,21163
2020-04-23,2663,706,6304,9325,17137,2261,27906,217040,127857,23466
2020-04-24,2716,712,6559,19892,16364,2177,28345,220701,129319,26642.89
2020-04-25,5572,346,6607,20059,16663,2304,28716,223315,130097,26800.966
2020-04-26,5235,303,6987,20137,16177,2254,29039,225693,130608,30332
2020-04-27,5145,295,7557,20114,16064,2258,29343,228389,131668,31464
2020-04-28,5321,456,8122,19056,15546,2112,29683,228191,135621,33093
2020-04-29,5287,338,8627,20627,14970,2048,29996,231081,136565,35180
2020-04-30,5524,314,9053,19386,14351,1941,30273,234303,137412,33061
2020-05-01,5485,230,9047,19654,15163,2267,30557,236454,137917,34222
2020-05-02,5107,144,9078,20056,14916,2277,30786,238113,138249,34923
2020-05-03,4756,79,9100,20206,14830,2228,31007,239208,138505,35437
2020-05-04,4614,206,9482,20387,14555,2135,31210,240958,139270,36006
2020-05-05,5787,203,9847,16370,14231,2085,31441,243013,152268,36965
2020-05-06,6049,273,10221,16806,13673,1977,31685,245960,153064,37943
2020-05-07,6259,274,10541,17160,13079,1901,31768,246336,151514,38932
