"date","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","cases_14days","cases_7days","cases_PCR_14days","cases_PCR_7days","daily_cases","daily_cases_avg7","daily_cases_PCR","daily_cases_PCR_avg7","daily_deaths","daily_deaths_inc","daily_deaths_avg3","daily_deaths_avg7","deaths_last_week"
2020-01-31,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2020-02-01,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA
2020-02-02,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA
2020-02-03,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA
2020-02-04,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA
2020-02-05,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA
2020-02-06,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,NA,NA
2020-02-07,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0
2020-02-09,1,0,0,0,0,0,0,1,0,0,NA,1,NA,0,1,0.1,0,0,0,NA,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,-1,0,0,0,0,NA,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,NA,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,NA,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
2020-02-20,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0.1,1,0.1,0,NA,0,0,0
2020-02-21,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0.1,0,0.1,0,NA,0,0,0
2020-02-22,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0.1,0,0.1,0,NA,0,0,0
2020-02-23,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0.1,0,0.1,0,NA,0,0,0
2020-02-24,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0.1,0,0.1,0,NA,0,0,0
2020-02-25,0,0,0,0,0,0,0,2,2,0,2,2,2,2,1,0.3,1,0.3,0,NA,0,0,0
2020-02-26,1,0,0,0,0,0,0,7,7,0,7,6,7,6,5,1,5,1,0,NA,0,0,0
2020-02-27,8,0,0,0,0,0,0,16,11,0,16,15,11,10,9,2.1,4,1.4,0,NA,0,0,0
2020-02-28,2,1,0,0,0,0,0,29,23,0,29,28,23,22,13,4,12,3.1,0,NA,0,0,0
2020-02-29,4,1,0,0,1,1,0,43,33,0,43,42,33,32,14,6,10,4.6,0,NA,0,0,0
2020-03-01,6,0,0,0,252,12,0,74,60,0,74,73,60,59,31,10.4,27,8.4,0,NA,0,0,0
2020-03-02,13,11,0,0,249,12,0,133,118,0,133,131,118,116,59,18.9,58,16.7,0,NA,0,0,0
2020-03-03,10,0,0,0,261,13,0,195,172,0,195,188,172,165,62,27.6,54,24.3,0,NA,0,0,0
2020-03-04,5,1,0,0,260,15,1,266,245,1,265,250,244,234,71,37,73,34,1,Inf,0.3,0.1,1
2020-03-05,33,5,0,0,261,16,2,437,386,1,436,408,385,363,171,60.1,141,53.6,1,100,0.7,0.3,2
2020-03-06,40,3,0,8,268,15,5,701,618,0,700,658,617,585,264,96,232,85,3,150,1.7,0.7,5
2020-03-07,53,3,0,10,294,16,11,1003,881,0,1002,929,880,821,302,137.1,263,121.1,6,120,3.3,1.6,11
2020-03-08,52,4,0,19,317,18,25,1374,1196,0,1373,1241,1195,1078,371,185.7,315,162.3,14,127.3,7.7,3.6,25
2020-03-09,82,15,0,28,346,20,36,2032,1797,1,2030,1837,1795,1625,658,271.3,601,239.9,11,44,10.3,5.1,36
2020-03-10,141,66,0,33,408,26,54,2982,2666,4,2975,2716,2659,2421,950,398.1,869,356.3,18,50,14.3,7.7,54
2020-03-11,218,88,0,43,464,31,94,4040,3607,5,4024,3603,3596,3221,1058,539.1,941,480.3,40,74.1,23,13.3,93
2020-03-12,311,221,0,54,534,37,139,5329,4767,8,5300,4628,4744,4149,1289,698.9,1160,625.9,45,47.9,34.3,19.6,137
2020-03-13,675,337,0,68,1882,218,198,7399,6205,10,7356,6396,6172,5324,2070,956.9,1438,798.1,59,42.4,48,27.6,193
2020-03-14,804,328,0,109,2170,229,388,9328,7580,14,9254,7954,7520,6384,1929,1189.3,1375,957,190,96,98,53.9,377
2020-03-15,982,464,0,123,3058,317,450,11391,9040,13,11258,9359,8922,7243,2063,1431,1460,1120.6,62,16,103.7,60.7,425
2020-03-16,1202,687,0,134,3186,345,673,13834,11205,18,13639,10852,11033,8539,2443,1686,2165,1344,223,49.6,158.3,91,637
2020-03-17,1363,822,0,152,4782,481,796,17583,14252,34,17317,13543,14007,10645,3749,2085.9,3047,1655.1,123,18.3,136,106,742
2020-03-18,1927,1014,0,168,5401,680,1019,20761,17332,43,20324,15432,16946,12565,3178,2388.7,3080,1960.7,223,28,189.7,132.1,925
2020-03-19,2278,1346,0,3103,7112,830,1319,26438,21088,121,25737,19039,20470,14883,5677,3015.6,3756,2331.6,300,29.4,215.3,168.6,1180
2020-03-20,2285,1484,1,3956,8698,976,1696,32044,25330,84,31041,22716,24449,17750,5606,3520.7,4242,2732.1,377,28.6,300,214,1498
