"date","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered"
2020-01-31,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0
2020-02-09,1,0,0,0,0,0,0,1,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,1,1,0
2020-02-21,0,0,0,0,0,0,0,1,1,0
2020-02-22,0,0,0,0,0,0,0,1,1,0
2020-02-23,0,0,0,0,0,0,0,1,1,0
2020-02-24,0,0,0,0,0,0,0,1,1,0
2020-02-25,0,0,0,0,0,0,0,2,2,0
2020-02-26,1,0,0,0,0,0,0,7,7,0
2020-02-27,8,0,0,0,0,0,0,16,11,0
2020-02-28,2,1,0,0,0,0,0,29,23,0
2020-02-29,4,1,0,0,1,1,0,43,32,0
2020-03-01,6,0,0,0,252,12,0,74,60,0
2020-03-02,13,11,0,0,249,12,0,133,118,0
2020-03-03,10,0,0,0,261,13,0,195,172,0
2020-03-04,5,1,0,0,260,15,1,266,244,1
2020-03-05,33,5,0,0,261,16,2,437,385,1
2020-03-06,40,3,0,8,268,15,5,701,617,0
2020-03-07,53,3,0,10,294,16,11,1003,879,0
2020-03-08,52,4,0,19,317,18,25,1374,1192,0
2020-03-09,82,15,0,28,346,20,36,2032,1793,1
2020-03-10,141,66,0,33,408,26,54,2982,2661,4
2020-03-11,218,88,0,43,464,31,94,4040,3602,5
2020-03-12,311,221,0,54,527,37,138,5329,4762,8
2020-03-13,675,337,0,68,1875,218,198,7399,6200,10
2020-03-14,804,328,0,109,2170,229,386,9328,7574,14
2020-03-15,982,464,0,123,3050,317,448,11391,9033,13
2020-03-16,1202,687,0,134,3183,345,672,13834,11198,18
2020-03-17,1363,822,0,152,4782,481,795,17583,14244,34
2020-03-18,1927,1014,0,168,5277,680,996,20761,17324,43
2020-03-19,2278,1346,0,3103,6988,830,1319,26438,21079,121
2020-03-20,2285,1484,1,3956,8574,976,1696,32044,25320,84
2020-03-21,1915,1270,1,4713,10122,1124,2127,36739,28693,120
2020-03-22,1704,1079,0,5164,11724,1285,2625,40706,31647,204
2020-03-23,2744,1597,0,5942,13364,1489,3217,47100,36446,251
2020-03-24,3782,1993,0,6463,15344,1808,3973,52407,41979,342
2020-03-25,3900,2005,0,8924,17034,2051,4728,63099,46855,476
2020-03-26,5066,2448,0,10231,19105,2277,5591,72676,54309,762
2020-03-27,4777,1818,0,7725,20971,2420,6575,81188,59281,926
2020-03-28,4905,1634,2,12037,23528,2813,7628,89780,62627,1281
2020-03-29,4907,1324,0,10255,27368,2948,8602,96084,65301,1818
2020-03-30,4698,1817,1,13367,28294,3353,9548,103276,70156,1828
2020-03-31,5573,1763,0,13914,26049,3195,10614,108824,74422,2196
2020-04-01,6317,1482,0,19858,27332,3365,11637,117176,78245,2687
2020-04-02,5257,1450,0,16375,27457,3456,12719,123950,82059,3377
2020-04-03,3262,1534,12,4709,30387,3437,13731,130638,85928,4274
2020-04-04,2879,1046,16,6202,30133,3448,14646,135947,88358,5120
2020-04-05,1998,724,14,4748,26858,3446,15502,139709,90015,5738
2020-04-06,2167,1200,24,7508,29681,3456,16424,144595,93227,6269
2020-04-07,2454,1260,45,4856,28790,3409,17320,149515,96287,6996
2020-04-08,2507,1289,119,4806,27696,3324,18293,154913,99407,7921
2020-04-09,2814,1301,147,4827,26328,3283,19161,159905,102021,9123
2020-04-10,2726,1043,416,4970,25944,3202,19957,165060,104305,10149
2020-04-11,2126,863,484,5059,25141,3158,20759,168829,106074,11000
2020-04-12,2259,589,485,5050,24500,3092,21448,171872,107325,11810
2020-04-13,2114,647,545,5082,24211,3054,22136,175374,109251,12310
2020-04-14,2646,1103,688,5139,23396,2996,22863,179702,111782,13129
2020-04-15,2828,1219,782,5244,22336,2887,23565,184103,116805,14225
2020-04-16,3167,1181,1009,5281,20880,2666,24244,188812,119157,15159
2020-04-17,3676,1354,1535,5378,19826,2588,24855,193914,121443,17293
2020-04-18,2321,783,4010,10437,19644,2522,25458,199796,122913,17184
2020-04-19,1503,531,4215,10241,19206,2536,25986,202023,123783,17825
2020-04-20,1892,888,4589,10220,19025,2481,26480,204946,125497,19791
2020-04-21,2233,955,5138,10149,18580,2408,26988,208699,127283,20567
2020-04-22,2836,1013,5809,9642,17877,2316,27474,213316,126515,21163
2020-04-23,2663,706,6304,9325,17137,2261,27906,217038,127855,23466
2020-04-24,2716,712,6559,19892,16365,2177,28345,220699,129317,26642.89
2020-04-25,5572,345,6607,20059,16664,2304,28716,223312,130094,26800.966
2020-04-26,5235,303,6987,20137,16178,2254,29039,225690,130605,30332
2020-04-27,5145,296,7557,20114,16066,2258,29343,228387,131666,31464
2020-04-28,5321,456,8122,19056,15547,2112,29683,228189,135619,33093
2020-04-29,5287,338,8627,20627,14971,2048,29996,231079,136563,35180
2020-04-30,5524,314,9053,19386,14351,1941,30273,234301,137410,33061
2020-05-01,5485,230,9047,19654,15163,2267,30557,236452,137915,34222
2020-05-02,5107,144,9078,20056,14916,2277,30786,238111,138247,34923
2020-05-03,4756,79,9100,20206,14830,2228,31007,239206,138503,35437
2020-05-04,4614,206,9482,20387,14555,2135,31210,240956,139268,36006
2020-05-05,5787,203,9847,16370,14231,2085,31441,243011,152266,36965
2020-05-06,6049,273,10221,16806,13674,1977,31685,245958,153062,37943
2020-05-07,6259,274,10541,17160,13081,1901,31768,246334,151512,38932
