"date","province","ine_code","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","num_casos","num_casos_prueba_pcr","num_casos_prueba_test_ac","num_casos_prueba_otras","num_casos_prueba_desconocida","poblacion","cases_per_cienmil","intensive_care_per_1000000","deceassed_per_100000","hospitalized_per_100000","cases_14days","cases_7days","cases_PCR_14days","cases_PCR_7days","daily_cases","daily_cases_avg7","daily_cases_PCR","daily_cases_PCR_avg7","daily_deaths","daily_deaths_inc","daily_deaths_avg3","daily_deaths_avg7","deaths_last_week","source_name","source","comments"
2020-01-31,"Albacete",2,"Castilla - La Mancha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,388167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISCIII RENAVE","https://cnecovid.isciii.es/covid19/resources/datos_provincias.csv",NA
2020-01-31,"Alicante/Alacant",3,"Comunitat Valenciana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1858683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISCIII RENAVE","https://cnecovid.isciii.es/covid19/resources/datos_provincias.csv",NA
2020-01-31,"Almería",4,"Andalucía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,716820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISCIII RENAVE","https://cnecovid.isciii.es/covid19/resources/datos_provincias.csv",NA
2020-01-31,"Araba/Álava",1,"País Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,331549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISCIII RENAVE","https://cnecovid.isciii.es/covid19/resources/datos_provincias.csv",NA
2020-01-31,"Asturias",33,"Asturias, Principado de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1022800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISCIII RENAVE","https://cnecovid.isciii.es/covid19/resources/datos_provincias.csv",NA
2020-01-31,"Ávila",5,"Castilla y León",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,157640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISCIII RENAVE","https://cnecovid.isciii.es/covid19/resources/datos_provincias.csv",NA
2020-01-31,"Badajoz",6,"Extremadura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,673559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISCIII RENAVE","https://cnecovid.isciii.es/covid19/resources/datos_provincias.csv",NA
2020-01-31,"Balears, Illes",7,"Balears, Illes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1149460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISCIII RENAVE","https://cnecovid.isciii.es/covid19/resources/datos_provincias.csv",NA
2020-01-31,"Barcelona",8,"Cataluña",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,5664579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISCIII RENAVE","https://cnecovid.isciii.es/covid19/resources/datos_provincias.csv",NA
2020-01-31,"Bizkaia",48,"País Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1152651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISCIII RENAVE","https://cnecovid.isciii.es/covid19/resources/datos_provincias.csv",NA
